genus,species,name,n
Chroococcus,microscopicus,Chroococcus microscopicus,226
Plagioselmis,prolonga,Plagioselmis prolonga,111
Plagioselmis,prolonga,cf. Plagioselmis prolonga,28
Chlorella,sp.,cf. Chlorella sp.,25
Rhodomonas,lacustris,Rhodomonas lacustris,19
Plagioselmis,prolonga,Plagioselmis cf. prolonga,9
Achnanthidium,catenatum,Achnanthidium catenatum,4
Rhodomonas,lacustris,cf. Rhodomonas lacustris,4
Chroomonas,rosenbergii,cf. Chroomonas rosenbergii,3
Pseudanabaena,galeata,Pseudanabaena cf. galeata,3
Strobilidium,sp.,Strobilidium sp.,3
Geissleria,decussis,Geissleria decussis,2
Nitzschia,agnita,Nitzschia cf. agnita,2
Pedinomonas,sp.,cf. Pedinomonas sp.,2
Rhodomonas,sp.,cf. Rhodomonas sp.,2
Westella,botryoides,cf. Westella botryoides,2
Achnanthidium,exiguum,Achnanthidium exiguum,1
Amoeba,sp.,cf. Amoeba sp.,1
Ankistrodesmus,sp.,cf. Ankistrodesmus sp.,1
Chroomonas,nordstedtii ,cf. Chroomonas nordstedtii ,1
Cocconeis,pediculus,Cocconeis cf. pediculus,1
Gomphonema,augur,Gomphonema augur,1
Kirchneriella,sp.,cf. Kirchneriella sp.,1
Leptolyngbya,sp.,cf. Leptolyngbya sp.,1
Licmophora,sp.,cf. Licmophora sp.,1
Pyramimonas,sp.,cf. Pyramimonas sp.,1
Rhoicosphenia,sp.,cf. Rhoicosphenia sp.,1
Westella,sp.,cf. Westella sp.,1
