station,site,stratum,treatment,latitude,longitude
DI_WAT_1,DI,WAT,fluridone,38.083217,-121.719914
DI_SAV_1,DI,SAV,fluridone,38.083739,-121.720128
DI_WAT_2,DI,WAT,fluridone,38.083057,-121.721925
DI_SAV_2,DI,SAV,fluridone,38.083452,-121.722303
FC_WAT_1,FC,WAT,reference,38.077333,-121.646917
FC_SAV_1,FC,SAV,reference,38.077342,-121.647642
FC_WAT_2,FC,WAT,reference,38.080866,-121.646944
FC_SAV_2,FC,SAV,reference,38.080861,-121.647718
FI_WAT_1,FI,WAT,reference,38.269808,-121.696769
FI_SAV_1,FI,SAV,reference,38.268811,-121.696786
FI_WAT_2,FI,WAT,reference,38.2748989,-121.7008895
FI_SAV_2,FI,SAV,reference,38.2740994,-121.7000186
LH_WAT_1,LH,WAT,fluridone,38.248156,-121.691966
LH_SAV_1,LH,SAV,fluridone,38.24546173,-121.6926934
LH_WAT_2,LH,WAT,fluridone,38.25269852,-121.69318
LH_SAV_2,LH,SAV,fluridone,38.25175626,-121.6937654
