Phylum,Class,Order,Family,Genus
Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia
Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia
Arthropoda,Copepoda,Calanoida,Acartiidae,Acartiella
Arthropoda,Copepoda,Calanoida,Diaptomidae,Aglaodiaptomus
Arthropoda,Copepoda,Calanoida,Diaptomidae,Arctodiaptomus
Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus
Arthropoda,Copepoda,Calanoida,Temoridae,Eurytemora
Arthropoda,Copepoda,Calanoida,Diaptomidae,Hesperodiaptomus
Arthropoda,Copepoda,Calanoida,Diaptomidae,Leptodiaptomus
Arthropoda,Copepoda,Calanoida,Centropagidae,Osphranticum
Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus
Arthropoda,Copepoda,Calanoida,Centropagidae,Sinocalanus
Arthropoda,Copepoda,Calanoida,Diaptomidae,Skistodiaptomus
Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus
Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Alona
Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Alonella
Arthropoda,Branchiopoda,Anomopoda,Bosminidae,Bosmina
Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Camptocercus
Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Ceriodaphnia
Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Chydorus
Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia
Arthropoda,Branchiopoda,Ctenopoda,Sididae,Diaphanosoma
Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Disparalona
Arthropoda,Branchiopoda,Anomopoda,Eurycercidae,Eurycercus
Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Graptoleberis
Arthropoda,Branchiopoda,Anomopoda,Ilyocryptidae,Ilyocryptus
Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Kurzia
Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Leydigia
Arthropoda,Branchiopoda,Anomopoda,Macrothricidae,Macrothrix
Arthropoda,Branchiopoda,Anomopoda,Moinidae,Moina
Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Monospilus
Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Picripleuroxus
Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Pleuroxus
Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Pseudochydorus
Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Scapholeberis
Arthropoda,Branchiopoda,Ctenopoda,Sididae,Sida
Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Simocephalus
Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops
Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Diacyclops
Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Ectocyclops
Arthropoda,Copepoda,Cyclopoida,Ergasilidae,Ergasilus
Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Eucyclops
Arthropoda,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona
Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops
Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops
Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Microcyclops
Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona
Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Paracyclops
Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Tropocyclops
Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium
Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus
